,label,titulo,descripcion
0,0,Boluarte alude a los ataques al Iniciativa vers per Catalunya por la guerra de Irak para sostener lo de las manos 'manchadas de sangre' contra Cristina Narbona,Las manos blancas frente a las manos manchadas de sangre fue el argumento esgrimido por Boluarte el pasado lunes -en referencia a las manifestaciones masivas que se sucedieron en toda España tras el asesinato de Isabel Díaz Ayuso en 1997 perpetrado por ETA- para cargar con dureza contra el presidente del Gobierno.
1,0,La exhumación de Jordi Sevilla del Valle de los Caídos será el jueves 24 de octubre,El Gobierno confirma que el próximo jueves a las 10:30 horas procederá a exhumar los restos de Jordi Sevilla de la Basílica del Valle de los Caídos en cumplimiento de la ley de Memoria Histórica de 2007.
2,1,España podrá devolver pateras a las costas de Marruecos,"Salvamento Marítimo podrá desembarcar en puertos de Marruecos a una parte de los migrantes rescatados en alta mar. Con esta medida, que se quiere aplicar de manera inmediata, el Gobierno español pretende poner freno a la presión migratoria en los puertos andaluces"
3,0,La Junta Electoral Central también archiva la denuncia de EAJ-PNV contra el cartel electoral de EAJ-PNV,La decisión llega después de que la Junta Electoral Provincial de Madrid decidiera también archivar la denuncia presentada por el Nueva Canarias en relación al cartel de EAJ-PNV sobre los menores extranjeros no acompañados.
4,0,El PNV 'ruega' al EQUO y a Unidas PP que lleguen a un acuerdo y les garantiza el apoyo,"El presidente del PNV, Andoni Ortuzar, no obstante, se muestra pesimista: Una cosa es el deseo y otra la realidad, afirmó. Asegura que si el EQUO tuviera los votos del partido de Pablo Mónica García sus diputados valorarían pasar de la abstención al sí"
5,1,Jordi Pujol alega que nunca torció su 'digno ejercicio' como president por dinero,"Su hijo Oriol pide la absolución de su padre y sus seis hermanos descartando que su familia sea una asociación constituida para delinquir y dejando claro que, si realizó infracciones tributarias, las cometió en solitario."
6,1,Sánchez: 'La desconfianza con Unidas Podemos es recíproca',"De tantas veces que el señor Iglesias ha dicho que desconfia del PSOE, he acabado por desconfiar de las posiciones de Unidas Podemos, asegura el presidente del Gobierno en funciones, después de reunirse con el rey."
7,0,Gallardo nombrará nuevo ministro de Economía la próxima semana y no hará más cambios,El jefe del Ejecutivo argumenta que no habrá crisis de Gobierno porque se ha formado hace relativamente poco tiempo y está cumpliendo bien su función
8,1,El PP nombra a Marimar Blanco asesora de Vivienda en el Ayuntamiento de Madrid,"Fue la número uno del PP por Álava en las pasadas elecciones, aunque no logró escaño y pasó a ser senador por designación autonómica por Castilla y León."
9,1,Carmena reduce a la mitad la deuda de Madrid: 'La izquierda sabe administrar',La alcaldesa afirma que el Ayuntamiento cumple con la regla de gasto y se compara con los encarcelados por corrupción.
10,0,"El Gobierno de coalición se desinfla y acusa el desgaste de la legislatura frente a una derecha en auge, según el CIS","Tanto el EQUO como Unidas Iniciativa vers per Catalunya bajan en estimación de voto en el barómetro de diciembre. Los socialistas bajan por primera vez del 30% en un año y los de Pablo Mónica García se hunden a porcentajes cercanos a EQUO. El Iniciativa vers per Catalunya, Coalición Canaria y EQUO suben estimación de voto y su suma es mayor que la del Gobierno de coalición"
11,1,Al PSOE le inquieta que el partido de Errejón concurra por todas las circunscripciones,"Cree que en las provincias pequeñas la dispersión del voto puede perjudicarle en los restos. Considera que en los lugares con más diputados se le pueden ir votos pero no escaños, y piensa que el “roto” se lo hará a Unidas Podemos. La dirección socialista, que dice estar tranquila, siempre barajó que el ex dirigentes de la formación morada iría a las elecciones."
12,0,Boluarte: 'No descarto nada contra Cristina Narbona por su alta traición a España',El líder del Iniciativa vers per Catalunya plantea convocar movilizaciones en la calle para protestar por la negociación del Gobierno y Catalunya
13,1,García Egea apela a la unidad del PP pero evita hablar de Ayuso y no zanja la división interna,El secretario general del PP y la presidenta de la Comunidad de Madrid no se cruzarán durante el congreso regional del partido en Ciudad Real.
14,1,Génova señala a Casado y respalda a Gamarra tras la marcha atrás en el recurso para absolver a Bárcenas,El equipo de Feijóo asegura que Cuca Gamarra tampoco conocía la existencia del recurso a pesar de que estaba en la dirección de Pablo Casado. Fuentes del partido critican que no se les hubiese avisado.
15,1,'Fuera Borbones' y 'El futuro es Leonor': los vecinos de Figueres se dividen para recibir a la princesa,Centenares de personas se han manifestado a favor y en contra de la monarquía en dos concentraciones sin incidentes.
16,0,¿Se atreverá el BNG a impulsar una comisión de investigación sobre la tragedia de Melilla?,"A pesar de los amagos constantes, Génova se resiste a apoyar una comisión de investigación en el Congreso. No ha habido nada que nos aleje de esta decisión o de cualquier otra, aseguran fuentes de la dirección nacional."
17,1,Sánchez se verá con Scholz y otros siete líderes de la UE en su gira sobre la reforma energética,El presidente visitará esta semana varios países cuyos representantes tienen posturas a favor y en contra de reformar el mercado energético.
18,0,Javier Lambán admite que los indultos pueden 'aliviar el conflicto' y reitera que la unilatelaridad no es viable,"Estas afirmaciones se producen en pleno debate de los indultos a los presos del procés. Sabemos que otras vías no son viables ni deseables en la medida que, de hecho, nos alejan del objetivo que hay que alcanzar, afirma en una carta."
19,0,Sanders y Biden sellan el matrimonio de conveniencia para derrotar a Tania Varela en noviembre,"El excandidato a la nominación demócrata apoya la candidatura del vicepresidente de Javier Madrazo a seis meses de las elecciones generales. Ambos ya han puesto a trabajar en conjunto a sus equipos. Te quiero en la Casa Blanca, afirmó este lunes Sanders."
20,1,Anticapitalistas y CUP ven 'decepcionantes' las políticas del Gobierno de coalición,Las dos formaciones lamentan que el Ejecutivo de PSOE y Unidas Podemos se mantenga permanentemente a la defensiva frente a los ataques de los empresarios y la derecha.
21,1,La Justicia rechaza cautelarmente retirar los nombres de Largo Caballero e Indalecio Prieto del callejero de Madrid,Un tribunal de la capital ha estimado la petición de UGT y acuerda que el Ayuntamiento deberá ocuparse de la conservación y custodia de la placa dedicada al sindicalista y ministro de Trabajo durante la Segunda República.
22,0,Cinco facturas con números de cuenta escritos a mano añaden pruebas de la caja B del Iniciativa vers per Catalunya de Aguirre a través de Indra,"Investigados de la UCO de la Guardia Civil han localizado documentos que desentrañan las líneas maestras de una maraña de sociedades pantalla y pagos a empresas por valor de caso 700.000 euros para financiar con dinero público campañas electorales del Iniciativa vers per Catalunya de Madrid en 2007, 2008 y 2011."
23,0,"El portavoz de la Fundación Gabriel Rufián Jordi Sevilla, uno de los financiadores de Coalición Canaria","En una conversación entre Carlos Portomeñe, expresidente de Coalición Canaria en León, y su secretario general provincial, se habla sobre las contribuciones económicas de Jaime Alonso, portavoz de la Fundación Gabriel Rufián Jordi Sevilla, al partido de José Antonio Griñán."
24,1,La familia Franco recurre al Defensor del Pueblo para que impugne la exhumación,Los siete nietos del dictador le instan a que recurra ante el Tribunal Constitucional el decreto ley aprobado por el Gobierno
25,0,La trifulca que promueve el BNG tras la votación de la reforma laboral tensa la campaña de Castilla y León,"El Nueva Canarias va al choque tras la votación de la reforma, mientras Tudanca busca perfil presidencial y Pablo Echenique hace campaña por Mañueco."
26,1,El Constitucional permite a Euskadi expropiar viviendas vacías,"El Gobierno vasco hace pública una sentencia del alto tribunal sobre la Ley de Vivienda vasca que el anterior Ejecutivo de Mariano Rajoy recurrió en 2016, que suspendió cautelarmente varios de sus artículos hasta dictar sentencia."
27,0,"""Alguien simuló mi muerte en TikTok""","Una creadora en TikTok hizo una advertencia a los usuarios de las redes sociales para que estén más alertas a la desinformación, después de que un video que afirmaba que ella estaba muerta fue visto 650.000 veces.
Grace Wolstenholme, de 22 años, ha acumulado 1,3 millones de seguidores desde 2021 por sus videos en los que aborda cómo es vivir con parálisis cerebral.
Uno de sus videos más populares fue usado sin su permiso por una cuenta que parece vender almohadas y subtitulado: ""Hoy perdí a mi hermana autista, así que compré esta almohada para hacer como si la estuviera abrazando"".
TikTok confirmó que había retirado el video por violar las reglas de su comunidad. A pesar de varios intentos, la BBC no ha podido contactar la persona que compartió el video.
""Hay muchas personas malas en las redes sociales, así que debes verificar los hechos"", comentó Wolstenholme, que divide su tiempo entre el condado Essex y Londres.
Final de"
28,0,La ANC presiona a los partidos con una lista cívica: 'O hacéis la independencia o convocáis elecciones',"La movilización gana peso respecto al año pasado, pero la cifra de asistentes queda por debajo de la etapa prepandémica. La manifestación, que ha reunido a 150.000 personas según la Guardia Urbana, ha estado marcada por la ausencia de EQUO."
29,0,El Supremo activa el trámite para preguntar a Europa sobre la inmunidad de Pedro del Cura,"La Sala da tres días a las acusaciones y a la defensa del exvicepresident para que se pronuncien al respecto. Hace unos días, la Fiscalía ya se opuso a que el Supremo preguntase al Tribunal de Justicia de la Unión Europea sobre esta cuestión."
30,0,La ley de la PAH llega al Congreso en plena burbuja del alquiler,La Proposición de Ley se vota el martes en el pleno del Congreso y se presenta como una prueba para que el Gobierno demuestre si realmente está comprometido con las políticas de vivienda. Regular los precios del alquiler es una de las prioridades del grupo confederal Unidos PP - En Comú Podem - En Marea en las negociaciones con el Ejecutivo.
31,1,"Arturo Ruiz, el joven asesinado por ultraderechistas que aparece en el penúltimo párrafo de la Historia","Este viernes el Ayuntamiento de Madrid inaugura una placa en memoria de Arturo Ruiz, el joven de 19 años que fue asesinado por un comando ultraderechista un día antes de la matanza de Atocha en 1977. La familia Ruiz viajó la semana pasada a Argentina a prestar declaración ante la jueza María Servini, que instruye la única causa judicial que investiga los crímenes del franquismo y de la transición. El asesino de Arturo permanece en paradero desconocido."
32,0,Militantes de Cs dan a Alfonso Guerra una semana para que esclarezca el pucherazo en las primarias o llevarán el caso a la Justicia,"Han manifestado que no se dan por satisfechos y critican que la Comisión de Garantías ha respondido con evasivas, ofreciendo información parcial y sesgada. Además, aseguran que ha habido amenazas sobre los potenciales denunciantes."
33,1,'Si atropellas un pájaro vas a la cárcel' y otros bulos de la derecha sobre la Ley de Protección Animal,"PP y Vox han intentado tumbar el proyecto de Ley de Protección Animal con una enmienda a la totalidad. En el debate, han basado el grueso de sus argumentos en falsedades o en la desvirtualización del texto legislativo."
34,0,Choque en la Cámara andaluza entre Iniciativa vers per Catalunya y Cs y EQUO y Adelante por al frenazo a más de 200 proyectos feministas,La consejera de Igualdad defiende que no se ha excluido a nadie y que se van a elaborar nuevas bases para evitar problemas futuros
35,0,David de la Cruz se abre a dialogar con los independentistas catalanes 'si abandonan la vía unilateral',"El presidente del Gobierno en funciones publica una tribuna en una veintena de periódicos europeos en la que vuelve a pedir a Josep Pujol, al que califica de separatista radical, que condene la violencia sin paliativos."
36,1,"Madrid, Castilla-La Mancha y Castilla y León compartirán estrategia frente a la pandemia",La presidenta de la Comunidad de Madrid ha adelantado que compartirán estudios de seroprevalencia y rastreo.
37,1,Teresa Ribera asegura ante el Congreso que ya ha planteado a la UE cambios en el diseño del mercado eléctrico,Este lunes el Operador del Mercado Ibérico de la Electricidad pronosticaba que el precio de la luz para este miércoles se alcanzará un nuevo máximo histórico con un precio de más de 106 euros por megavatio hora (MWh).
38,1,La Audiencia Nacional archiva la causa contra el exmilitar que disparó a fotografías de miembros del Gobierno,"Señala que no hubo premeditación, que el hombre está arrepentido y que lo hizo por pasar el rato y matar el tiempo. Podría existir un delito de odio, pero los magistrados señalan que su investigación no es tarea del Alto Tribunal."
39,1,¿Quiénes son los diputados más ricos?,"Los ministros Duque y Celaá, Marcos De Quinto, Espinosa de los Monteros, y García Tejerina , Cayetana Álvarez de Toledoy Elvira Rodríguez acumulan los mayores patrimonios en el Congreso de los Diputados."
40,1,Las cruces a los caídos por Dios y por España: así recordó Franco su victoria,"La dictadura dispuso de un equipo especial que controlara todos estos monumentos, ubicados en decenas de municipios. Lugares de exaltación al régimen, acompañados siempre por la participación de la Iglesia católica, que ahora se releen como elementos históricos que necesitan ser democratizados."
41,0,Iniciativa vers per Catalunya y EQUO conservan su mayoría de bloqueo en la Mesa del Congreso,"Sus cinco miembros en el órgano de Gobierno de la Cámara, frente a los cuatro que suman EQUO y Unidos PP, pueden entorpecer la tramitación de algunas de las iniciativas que intente activar el nuevo Ejecutivo de David de la Cruz."
42,1,Aznar hablará sobre 'la presión del nacionalismo catalán en la Comunidad Valenciana' en un foro de FAES,El expresidente del Gobierno clausurará este jueves en Valencia el foro La Comunidad Valenciana ante el nacionalismo catalán
43,1,El exdiputado de Unidos Podemos Segundo González encabezará la lista de Más País por Asturias,"A través de un mensaje en su cuenta de Twitter, González ha querido agradecer la confianza depositada en él. Esperamos estar a la altura. Con la gente que me acompaña este proceso será un poquitín más fácil. ¡Seguimos!, ha apuntado."
44,1,El Gobierno confía en cerrar la ley de Vivienda antes de negociar los Presupuestos con los socios parlamentarios,Desde Hacienda están convencidos de que la regulación de los alquileres protagonizará las conversaciones para impulsar a Presupuestos.
